,record_id,borrower_id,borrower_age,borrower_income,business_uid,business_annual_income,business_annual_revenue,business_annual_expense,business_age,business_no_of_employees,loan_amount_asked,loan_amount_offered,loan_interest_rate,loan_duration_months,loan_monthly_payment,business_default,business_previous_loan,final_credit_score,final_loan_verdict
14,89590,2594100,35,378000,351317903680,1530000,11300000,2804000,24,72,42733000,40596350.0,26,60,845757.2916666670,0,0,725.0,1
15,88924,7935960,49,202000,357350933350,30000,281000,268000,20,68,1210000,1089000.0,29,72,22687.5,0,0,500.0,0
16,29929,7531980,51,1615000,389666999400,1150000,10831000,10224000,14,20,11406000,10265400.0,25,66,213862.5,0,0,550.0,1
17,70405,1855800,49,177000,297121901350,1250000,10095000,7754000,16,32,3373000,3204350.0,26,84,66757.29166666670,0,0,650.0,1
18,30586,315120,26,1382000,240043854320,1270000,1775000,1431000,20,42,581000,551950.0,22,78,11498.958333333300,0,0,650.0,1
19,62992,5427560,49,326000,331583307230,1500000,14750000,1781000,24,64,22455000,21332250.0,27,60,444421.875,0,0,725.0,1
20,36425,3387840,34,1492000,235996149760,1940000,4959000,4254000,12,98,19615000,18634250.0,29,48,388213.5416666670,0,0,675.0,1
21,88713,8500740,35,152000,363248796470,580000,2728000,640000,10,60,6999000,6299100.0,28,48,131231.25,0,0,600.0,1
22,68461,939960,36,811000,234330278470,420000,1814000,1804000,20,42,2266000,2039400.0,26,78,42487.5,0,0,575.0,1
23,28432,2991920,59,671000,247340312230,200000,803000,386000,2,56,2068000,1654400.0,26,60,34466.666666666700,0,0,400.0,0
24,95644,4704400,38,982000,286048041080,1480000,10964000,4277000,2,80,27048000,24343200.0,26,72,507150.0,0,0,525.0,1
25,88173,7728580,43,1402000,299163296600,1730000,14777000,3697000,28,40,31259000,29696050.0,28,48,618667.7083333330,0,0,700.0,1
26,57334,4515540,52,260000,236060720400,1530000,2184000,1980000,20,36,4381000,4161950.0,26,54,86707.29166666670,0,0,650.0,1
27,65920,3604860,43,1774000,368970597010,1370000,3601000,1858000,18,12,2978000,2680200.0,26,54,55837.5,0,0,550.0,1
28,28273,9943740,59,443000,336889616980,1650000,11448000,7386000,4,36,28791000,25911900.0,29,48,539831.25,0,0,550.0,1
29,99592,5650960,56,1289000,318068070070,1620000,4616000,4440000,18,48,17737000,16850150.0,21,78,351044.7916666670,0,0,650.0,1
30,55889,100220,59,1994000,238722300350,240000,910000,866000,10,28,3205000,2884500.0,28,60,60093.75,0,0,475.0,0
31,48184,1539800,55,108000,322941991120,150000,597000,386000,36,64,2922000,2629800.0,29,72,54787.5,0,0,600.0,1
32,60524,9095600,26,1011000,278652865890,1600000,12198000,11753000,24,46,36770000,34931500.0,25,78,727739.5833333330,0,0,700.0,1
33,71023,3959060,33,160000,274383303640,1980000,12089000,11753000,30,20,19199000,17279100.0,28,66,359981.25,0,0,600.0,1
34,78606,1518200,54,704000,220476013830,1730000,14519000,13007000,16,96,46938000,44591100.0,28,84,928981.25,0,0,675.0,1
35,60453,1681600,56,1489000,366671617460,310000,2940000,1380000,10,16,8840000,7956000.0,28,78,165750.0,0,0,425.0,0
36,36981,1937820,33,174000,326474515480,210000,2091000,2013000,38,14,2368000,2131200.0,26,66,44400.0,0,0,525.0,1
37,71965,1068640,42,297000,394029681560,90000,450000,119000,20,18,1549000,1239200.0,29,66,25816.666666666700,0,0,375.0,0
38,39293,9087220,28,1803000,251745152680,1990000,11382000,8495000,16,80,18887000,17942650.0,20,48,373805.2083333330,0,0,675.0,1
39,47072,8672180,36,343000,315043410380,930000,5826000,2800000,2,88,16535000,14881500.0,27,78,310031.25,0,0,500.0,0
40,85547,6191140,48,1025000,307957235480,240000,1178000,567000,10,22,2498000,2248200.0,20,54,46837.5,0,0,475.0,0
41,19059,6636580,48,1476000,379001032040,1480000,12696000,7992000,36,8,59389000,53450100.0,27,54,1113543.75,0,0,550.0,1
42,50889,1155160,43,1900000,212837175640,360000,521000,463000,32,34,1744000,1656800.0,29,54,34516.666666666700,0,0,625.0,1
43,8773,8455100,56,723000,231821630110,250000,1804000,1269000,8,22,867000,780300.0,21,78,16256.25,0,0,475.0,0
44,71945,5226680,26,457000,276124203760,1320000,7955000,3467000,20,66,14648000,13915600.0,23,84,289908.3333333330,0,0,675.0,1
45,88713,7665620,43,869000,277970602320,430000,4196000,3241000,0,82,16597000,15767150.0,26,78,328482.2916666670,0,0,650.0,1
46,78537,3584640,43,250000,401893701800,910000,8636000,3838000,24,36,22352000,21234400.0,28,54,442383.3333333330,0,0,675.0,1
47,44726,6773900,26,167000,376436152850,1410000,1729000,1670000,14,90,8131000,7724450.0,20,60,160926.04166666700,0,0,675.0,1
48,16984,2190860,57,1051000,330811012190,1090000,6957000,2423000,4,26,2633000,2369700.0,26,60,49368.75,0,0,500.0,0
49,32555,3554720,36,1104000,312083850660,1140000,8792000,6133000,20,8,38150000,34335000.0,26,78,715312.5,0,0,500.0,0
50,84378,8147500,27,797000,284887997330,30000,199000,72000,6,18,896000,716800.0,29,60,14933.333333333300,0,0,325.0,0
51,60542,6728820,41,581000,302393416040,1130000,5492000,5422000,28,72,12492000,11867400.0,22,78,247237.5,0,0,725.0,1
52,63341,778640,53,1660000,248963564320,1800000,4492000,2234000,0,38,12427000,11805650.0,23,84,245951.04166666700,0,0,700.0,1
53,74710,5278780,57,142000,260344176990,1480000,2956000,1506000,20,34,12847000,12204650.0,20,48,254263.54166666700,0,0,650.0,1
54,72005,4873160,30,168000,348211513490,710000,6416000,3382000,30,48,1849000,1756550.0,29,66,36594.791666666700,0,0,675.0,1
55,53155,8015500,48,136000,212260592760,570000,1877000,1099000,12,34,6815000,6474250.0,26,48,134880.20833333300,0,0,625.0,1
56,71465,3602180,57,1451000,244481497130,1550000,8595000,2727000,38,58,24927000,23680650.0,27,60,493346.875,0,0,725.0,1
57,699,5796480,28,1542000,216703617610,1240000,1547000,1506000,38,18,4397000,3957300.0,27,72,82443.75,0,0,600.0,1
58,85001,4371100,28,884000,248037104560,730000,3392000,1748000,20,8,10768000,9691200.0,27,48,201900.0,0,0,475.0,0
59,70868,8685360,31,1390000,247378909300,860000,7584000,6542000,24,64,25890000,24595500.0,23,84,512406.25,0,0,700.0,1
60,92689,5578180,56,386000,271707020240,1280000,8666000,2347000,34,34,24530000,23303500.0,28,48,485489.5833333330,0,0,700.0,1
61,40865,6201080,40,960000,234915751060,1110000,1512000,1322000,8,2,3188000,2869200.0,21,54,59775.0,0,0,450.0,0
62,58395,7024160,44,836000,258988788940,1940000,11553000,2200000,18,6,46892000,42202800.0,20,60,879225.0,0,0,500.0,0
63,16547,6823820,31,515000,372248027910,840000,7064000,5431000,34,28,29814000,28323300.0,21,78,590068.75,0,0,625.0,1
64,99224,9309920,56,1578000,296358938360,550000,2914000,1436000,20,54,14134000,13427300.0,22,84,279735.4166666670,0,0,650.0,1
65,4022,3571400,41,252000,342488681390,1140000,8208000,5277000,20,34,25585000,24305750.0,28,48,506369.7916666670,0,0,650.0,1
66,55344,7880140,38,1543000,243944600560,1730000,5232000,3825000,0,70,10560000,10032000.0,24,48,209000.0,0,0,725.0,1
67,52768,2708100,32,882000,375324200720,870000,3121000,1784000,12,50,87000,82650.0,26,54,1721.875,0,0,625.0,1
68,10257,9709500,54,323000,337015436560,320000,701000,629000,6,98,3502000,3151800.0,26,78,65662.5,0,0,550.0,1
69,35096,5880000,30,1473000,246673351120,360000,2301000,1306000,28,50,2487000,2362650.0,21,60,49221.875,0,0,625.0,1
70,44162,8808740,59,522000,218321995270,970000,5321000,1999000,16,12,6311000,5679900.0,28,66,118331.25,0,0,525.0,1
71,52815,5049280,51,1653000,220929153050,890000,8621000,3397000,26,42,6989000,6639550.0,27,78,138323.95833333300,0,0,675.0,1
72,50664,7925440,56,572000,226959541330,200000,1208000,687000,16,78,2238000,2014200.0,27,60,41962.5,0,0,550.0,1
73,11312,4049560,31,69000,212877950550,1940000,12248000,9973000,2,46,38470000,34623000.0,23,60,721312.5,0,0,500.0,0
74,33892,8407880,47,307000,292523747340,1950000,16343000,10940000,18,40,71283000,67718850.0,22,54,1410809.375,0,0,650.0,1
75,64558,4414680,36,791000,235889634890,1260000,11872000,2638000,38,48,19890000,18895500.0,27,78,393656.25,0,0,700.0,1
76,28773,2035940,38,1736000,342345048890,1380000,6672000,3720000,22,12,9886000,8897400.0,28,66,185362.5,0,0,600.0,1
77,26368,6344460,27,440000,394713121360,10000,30000,12000,12,96,127000,114300.0,23,60,2381.25,0,0,500.0,0
78,4867,1297620,34,1675000,366641300390,850000,1907000,1389000,28,60,7353000,6985350.0,21,54,145528.125,0,0,700.0,1
79,32504,2181580,56,1916000,221783479750,1040000,4379000,1602000,36,62,1866000,1772700.0,29,90,36931.25,0,0,725.0,1
80,21785,7992760,34,1911000,212893807100,1020000,10088000,2575000,24,32,6908000,6562600.0,28,72,136720.83333333300,0,0,700.0,1
81,53924,7985240,58,1175000,342352850740,1410000,7620000,7184000,4,70,1056000,950400.0,27,72,19800.0,0,0,575.0,1
82,37028,9283560,36,1746000,295207353330,1990000,10750000,3531000,18,90,7853000,7460350.0,24,90,155423.95833333300,0,0,675.0,1
83,76502,9635480,55,1458000,251345935080,1610000,2335000,2202000,34,96,9167000,8708650.0,25,54,181430.20833333300,0,0,725.0,1
84,85846,9979520,33,1622000,241511134620,770000,4622000,1411000,10,22,16496000,14846400.0,29,48,309300.0,0,0,525.0,1
85,37076,2291780,38,300000,259983584590,820000,7211000,5803000,8,66,12120000,10908000.0,27,60,227250.0,0,0,600.0,1
86,50827,8287480,54,1229000,338150976190,80000,543000,177000,0,36,1866000,1679400.0,27,66,34987.5,0,0,525.0,1
87,31171,9836680,50,1875000,293975836440,1920000,16938000,15243000,20,82,70362000,66843900.0,23,72,1392581.25,0,0,675.0,1
88,25761,5631580,46,601000,291780679790,1310000,3052000,2037000,16,68,11769000,11180550.0,25,72,232928.125,0,0,675.0,1
89,89174,7598980,53,1982000,404133507180,1390000,1486000,1415000,28,36,583000,553850.0,21,66,11538.541666666700,0,0,700.0,1
90,71200,1521420,30,1835000,216724020990,940000,5437000,1028000,18,68,23827000,22635650.0,27,60,471576.0416666670,0,0,650.0,1
91,62096,1949700,46,934000,404785362090,770000,6040000,5670000,30,4,14327000,12894300.0,26,48,268631.25,0,0,525.0,1
92,37986,9006600,39,1584000,329217833400,200000,1652000,588000,14,52,1484000,1335600.0,27,48,27825.0,0,0,550.0,1
93,65981,7733500,46,1448000,210295551390,840000,7088000,6221000,10,24,5822000,5239800.0,25,72,109162.5,0,0,525.0,1
94,79987,9048760,37,522000,256653900330,1140000,3896000,2645000,4,30,12980000,11682000.0,20,72,243375.0,0,0,500.0,0
95,31486,8076040,36,1136000,395745781060,1770000,7922000,7641000,10,64,39601000,37620950.0,26,60,783769.7916666670,0,0,625.0,1
96,53860,6171520,28,1450000,257870921890,140000,1087000,1077000,4,16,3433000,2746400.0,25,60,57216.666666666700,0,0,325.0,0
97,99581,8773800,29,874000,274856448980,420000,3125000,1822000,4,2,13843000,11074400.0,26,66,230716.66666666700,0,0,325.0,0
98,93076,4129980,28,1497000,269301039140,900000,5564000,2112000,32,52,22952000,21804400.0,27,90,454258.3333333330,0,0,700.0,1
99,55119,2967320,25,1664000,263482611530,1400000,8920000,8196000,2,46,10284000,9255600.0,25,78,192825.0,0,0,500.0,0
100,56932,3336680,35,1762000,221024681000,1700000,9758000,3041000,12,20,45474000,40926600.0,29,78,852637.5,0,0,550.0,1
101,93520,7946780,25,1313000,233987302470,1050000,8034000,7897000,6,50,38633000,34769700.0,25,78,724368.75,0,0,600.0,1
102,59298,7641040,41,1524000,294175730120,1630000,10874000,7522000,18,18,41983000,37784700.0,27,72,787181.25,0,0,550.0,1
103,21847,1711520,45,178000,373506380140,160000,880000,866000,34,22,2267000,2040300.0,25,48,42506.25,0,0,525.0,1
104,52156,5627480,29,319000,320092519460,1540000,3211000,1847000,18,60,9627000,9145650.0,26,66,190534.375,0,0,675.0,1
105,77924,6352320,59,351000,292471853790,460000,2734000,972000,36,98,8291000,7876450.0,27,90,164092.70833333300,0,0,650.0,1
106,72810,5920740,43,648000,378475788850,270000,1319000,369000,10,72,2488000,2239200.0,26,48,46650.0,0,0,550.0,1
107,10925,6563080,34,812000,377018398680,270000,2328000,1101000,30,30,8770000,7893000.0,28,72,164437.5,0,0,575.0,1
108,60917,7123380,43,1120000,222633828550,1850000,5676000,4244000,26,70,24437000,23215150.0,25,72,483648.9583333330,0,0,725.0,1
109,2549,8840260,51,437000,227887343620,1870000,7871000,3312000,32,30,29343000,27875850.0,29,66,580746.875,0,0,650.0,1
110,22280,4195860,45,1638000,261864441180,1830000,8717000,4956000,28,30,40274000,38260300.0,21,90,797089.5833333330,0,0,650.0,1
111,75312,4546200,41,878000,261790732190,1690000,8938000,2726000,26,4,6234000,5610600.0,25,72,116887.5,0,0,550.0,1
112,51857,9202060,51,314000,381106880640,330000,2643000,1356000,18,16,3561000,3204900.0,25,54,66768.75,0,0,475.0,0
113,86256,2413920,34,1943000,216526303400,1690000,5193000,2447000,28,56,18861000,17917950.0,24,78,373290.625,0,0,725.0,1
114,72747,5672360,34,368000,214574142930,160000,477000,220000,28,22,1012000,910800.0,26,48,18975.0,0,0,525.0,1
115,68606,4962820,53,1131000,216752019920,910000,1960000,1253000,24,60,3548000,3370600.0,22,54,70220.83333333330,0,0,700.0,1
116,72964,3186840,44,198000,284810502470,1290000,3842000,3182000,2,82,14732000,13258800.0,28,60,276225.0,0,0,525.0,1
117,17524,3161920,35,849000,267824861600,360000,3403000,1197000,34,6,16876000,15188400.0,23,66,316425.0,0,0,475.0,0
118,57277,6200840,28,1206000,339217437300,1870000,15931000,10251000,10,30,1937000,1743300.0,28,72,36318.75,0,0,550.0,1
119,59213,8421380,26,323000,391054112030,1010000,6741000,4797000,20,72,33498000,31823100.0,24,60,662981.25,0,0,675.0,1
120,88028,9392680,46,1234000,229951580440,300000,1478000,804000,18,32,4066000,3659400.0,26,78,76237.5,0,0,575.0,1
121,24430,3767220,46,1102000,386657758320,380000,3660000,2594000,28,16,1030000,927000.0,29,48,19312.5,0,0,525.0,1
122,44527,6989540,36,522000,333290745880,1300000,10576000,9404000,30,2,8511000,7659900.0,29,48,159581.25,0,0,550.0,1
123,38481,1334560,56,1342000,270960567830,1900000,10380000,4791000,22,56,46359000,44041050.0,25,72,917521.875,0,0,725.0,1
124,47889,3920860,33,162000,286218519640,1950000,5773000,4853000,24,42,10533000,10006350.0,23,48,208465.625,0,0,700.0,1
125,22094,2382720,58,592000,363654345190,1240000,9531000,9269000,8,6,4906000,4415400.0,29,48,91987.5,0,0,450.0,0
126,1500,9634120,40,541000,258609803280,1740000,13709000,8710000,34,14,2871000,2583900.0,29,66,53831.25,0,0,600.0,1
127,56875,968880,38,1355000,287144141010,1530000,8506000,7440000,12,8,42112000,37900800.0,22,66,789600.0,0,0,500.0,0
128,22474,5956680,28,513000,252885311340,250000,1421000,447000,14,8,1008000,907200.0,22,66,18900.0,0,0,425.0,0
129,42122,4735840,55,1105000,242340929130,140000,1005000,475000,12,22,748000,673200.0,29,66,14025.0,0,0,475.0,0
130,84737,3468940,49,1098000,366637537610,820000,7590000,7076000,32,50,36221000,34409950.0,20,90,716873.9583333330,0,0,675.0,1
131,67667,1023300,36,1328000,325023038220,1010000,7515000,1640000,0,48,36167000,34358650.0,21,54,715805.2083333330,0,0,700.0,1
132,16736,7392540,46,364000,360070560100,200000,1311000,614000,36,92,5932000,5338800.0,28,60,111225.0,0,0,600.0,1
133,53334,4184580,38,1001000,229811870450,1610000,4256000,2047000,34,82,17654000,16771300.0,28,72,349402.0833333330,0,0,725.0,1
134,31074,5580940,40,371000,339512237180,1540000,1882000,1674000,12,74,1044000,991800.0,23,72,20662.5,0,0,675.0,1
135,49985,7925500,25,1609000,380799550640,720000,1682000,1522000,36,6,8229000,7406100.0,26,54,154293.75,0,0,525.0,1
136,57328,9371340,55,47000,355811357920,1170000,5604000,5366000,36,60,2707000,2571650.0,20,60,53576.041666666700,0,0,725.0,1
137,56891,2632780,42,279000,346863047030,930000,3974000,3535000,26,74,15985000,15185750.0,20,72,316369.7916666670,0,0,700.0,1
138,14475,3398040,58,1552000,338304191870,1460000,5651000,2167000,20,6,24271000,21843900.0,23,60,455081.25,0,0,500.0,0
139,11408,6032000,52,700000,288483036820,720000,3546000,3443000,26,86,11852000,11259400.0,27,66,234570.83333333300,0,0,700.0,1
140,41867,7385840,34,1214000,316828396760,240000,298000,278000,18,70,1314000,1182600.0,26,78,24637.5,0,0,600.0,1
141,1785,9252180,35,1563000,254388356640,1980000,2379000,2024000,18,26,8781000,7902900.0,29,60,164643.75,0,0,600.0,1
142,55311,4909880,25,1418000,268750092600,180000,1643000,449000,36,26,1224000,1101600.0,28,60,22950.0,0,0,525.0,1
143,5832,8555080,32,1251000,393247700560,1200000,2570000,2223000,28,16,10294000,9264600.0,28,72,193012.5,0,0,600.0,1
144,850,3728900,26,953000,394523781650,950000,7445000,7283000,14,22,34479000,31031100.0,25,78,646481.25,0,0,575.0,1
145,64854,7465880,37,822000,359777998540,1100000,1855000,1229000,12,82,3852000,3659400.0,20,60,76237.5,0,0,675.0,1
146,44436,9374860,26,459000,231707410340,1610000,4150000,3657000,14,20,5608000,5047200.0,27,72,105150.0,0,0,550.0,1
147,1948,4084020,35,187000,348248783060,760000,1499000,1299000,20,44,5527000,5250650.0,27,72,109388.54166666700,0,0,625.0,1
148,84619,7545280,54,1861000,306751421070,360000,468000,457000,32,88,391000,371450.0,26,84,7738.541666666670,0,0,650.0,1
149,85628,799600,58,1726000,224056332740,390000,2932000,1413000,10,90,5942000,5347800.0,27,54,111412.5,0,0,550.0,1
150,63465,3717720,26,1873000,337398668730,1130000,3791000,3691000,2,4,7935000,6348000.0,29,60,132250.0,0,0,350.0,0
151,8868,7156640,43,157000,334469890390,910000,5809000,5771000,34,52,10830000,10288500.0,26,84,214343.75,0,0,700.0,1
152,73728,9237040,31,1029000,225971418030,1220000,1818000,1707000,14,2,5269000,4742100.0,29,54,98793.75,0,0,500.0,0
153,28308,4632980,32,1797000,284351842280,1090000,4024000,3337000,2,44,9036000,8132400.0,23,72,169425.0,0,0,500.0,0
154,14672,5795900,43,1255000,396962195520,770000,926000,851000,4,4,3605000,2884000.0,26,54,60083.333333333300,0,0,375.0,0
155,94711,6352520,30,1083000,319008347810,1100000,6222000,4951000,14,4,14935000,13441500.0,20,60,280031.25,0,0,500.0,0
156,29722,397740,27,974000,233017331300,1340000,12527000,10007000,16,38,196000,186200.0,23,84,3879.1666666666700,0,0,650.0,1
157,52681,8728260,56,1007000,281873867880,690000,2232000,878000,12,56,5734000,5447300.0,23,48,113485.41666666700,0,0,650.0,1
158,30,5815740,39,767000,292571686010,780000,4585000,2969000,30,44,18265000,17351750.0,28,54,361494.7916666670,0,0,675.0,1
159,40161,1881160,31,1143000,323195700970,1280000,10254000,8140000,18,26,29719000,26747100.0,25,78,557231.25,0,0,600.0,1
160,1920,9949500,59,784000,313970863640,1400000,9924000,2015000,18,94,29773000,28284350.0,25,84,589257.2916666670,0,0,675.0,1
161,18703,3925340,47,165000,397508233820,900000,5142000,1645000,34,84,22310000,21194500.0,25,90,441552.0833333330,0,0,700.0,1
162,17612,911440,30,262000,366379726670,230000,2179000,2100000,20,34,9855000,8869500.0,25,78,184781.25,0,0,575.0,1
163,16723,9728940,41,262000,378261806980,1240000,4678000,2419000,36,44,23054000,21901300.0,22,78,456277.0833333330,0,0,700.0,1
164,41929,4332000,32,273000,359456358340,1630000,11705000,4875000,28,82,11903000,11307850.0,29,72,235580.20833333300,0,0,725.0,1
165,6837,6173360,27,1113000,337229658460,1470000,2434000,2086000,16,40,8887000,8442650.0,26,54,175888.54166666700,0,0,650.0,1
166,52387,4134680,49,1680000,356889730130,1890000,17247000,15093000,0,6,68596000,61736400.0,27,66,1286175.0,0,0,550.0,1
167,39080,9145100,57,1669000,306963556050,1020000,10018000,9346000,38,78,5887000,5592650.0,29,66,116513.54166666700,0,0,725.0,1
168,5250,5550440,41,1061000,326671734800,680000,710000,701000,18,86,507000,481650.0,24,72,10034.375,0,0,650.0,1
169,14083,4633760,55,1613000,353670436690,1640000,6781000,6753000,10,56,27898000,26503100.0,27,48,552147.9166666670,0,0,625.0,1
170,67728,517920,58,743000,364851589260,930000,8077000,7531000,22,44,40262000,38248900.0,29,66,796852.0833333330,0,0,675.0,1
171,45452,7163220,40,1175000,273886825600,1560000,4890000,4064000,16,88,20726000,19689700.0,26,60,410202.0833333330,0,0,675.0,1
172,74788,7520000,59,958000,357312309320,410000,4054000,1543000,24,66,17943000,17045850.0,24,72,355121.875,0,0,650.0,1
173,99163,7843680,55,170000,329371660500,180000,401000,202000,36,26,1564000,1407600.0,26,60,29325.0,0,0,525.0,1
174,23406,2389920,47,1962000,306575715050,190000,929000,594000,0,64,1578000,1420200.0,26,78,29587.5,0,0,600.0,1
175,30391,4658800,37,629000,403463598040,1540000,12451000,2401000,18,58,42660000,40527000.0,20,78,844312.5,0,0,675.0,1
176,49620,7168140,56,1044000,253824927130,1290000,7833000,5825000,26,26,32856000,31213200.0,23,72,650275.0,0,0,650.0,1
177,43386,4047300,32,1831000,277848445370,820000,7895000,6124000,28,30,12836000,12194200.0,23,90,254045.83333333300,0,0,625.0,1
178,68905,7444460,42,1127000,300683013550,1210000,10588000,5847000,18,50,44528000,42301600.0,23,66,881283.3333333330,0,0,650.0,1
179,11599,8815740,56,253000,376064221650,340000,2999000,1264000,38,56,6699000,6364050.0,22,48,132584.375,0,0,650.0,1
180,16753,5725960,28,1296000,280097570190,890000,7177000,5839000,14,66,24870000,23626500.0,21,48,492218.75,0,0,650.0,1
181,1665,7307740,50,1724000,273674147250,410000,3138000,1220000,0,84,12389000,11769550.0,21,66,245198.95833333300,0,0,650.0,1
182,88418,7493200,34,712000,312041676730,700000,5118000,3683000,32,90,25111000,23855450.0,26,66,496988.5416666670,0,0,700.0,1
183,47179,486240,50,771000,291837638250,10000,44000,36000,10,30,65000,52000.0,25,60,1083.3333333333300,0,0,375.0,0
184,35042,9172340,48,474000,255207127190,360000,2090000,502000,34,66,6654000,6321300.0,29,66,131693.75,0,0,650.0,1
185,99461,9408120,51,1969000,338649522030,580000,4429000,1117000,24,46,9434000,8962300.0,20,60,186714.58333333300,0,0,675.0,1
186,64608,9064840,43,462000,218980362200,850000,4916000,4000000,10,90,14329000,12896100.0,25,60,268668.75,0,0,600.0,1
187,72619,7147840,48,763000,280739317580,100000,977000,536000,2,74,3894000,3115200.0,28,48,64900.0,0,0,350.0,0
188,16265,7349660,53,65000,382566116830,320000,518000,437000,22,34,401000,380950.0,26,90,7936.458333333330,0,0,625.0,1
189,8113,796740,31,1716000,211224972260,850000,1844000,1117000,36,94,8219000,7808050.0,21,48,162667.70833333300,0,0,700.0,1
190,21957,4076780,51,1908000,261771440210,740000,1883000,1093000,22,70,8718000,8282100.0,21,60,172543.75,0,0,700.0,1
191,74214,5739740,28,724000,309869322490,1600000,6899000,2934000,4,34,17877000,16089300.0,27,54,335193.75,0,0,550.0,1
192,25663,2811480,50,441000,210366358490,1560000,2824000,1687000,4,40,11311000,10179900.0,29,54,212081.25,0,0,550.0,1
193,83522,6540000,54,1059000,285500607250,120000,409000,238000,18,22,1258000,1132200.0,22,66,23587.5,0,0,475.0,0
194,77757,6787100,41,1138000,272542197090,1030000,1097000,1065000,32,8,5386000,4847400.0,29,72,100987.5,0,0,550.0,1
195,78296,1442080,58,496000,242371358000,130000,298000,194000,30,80,580000,522000.0,25,54,10875.0,0,0,600.0,1
196,2178,8212740,49,1210000,376287398780,10000,76000,13000,0,68,135000,121500.0,25,48,2531.25,0,0,550.0,1
197,90708,9680920,40,1908000,251989116900,1880000,7795000,4144000,26,16,2992000,2692800.0,29,60,56100.0,0,0,600.0,1
198,98908,5258140,51,499000,293118969250,1210000,2328000,1580000,14,80,974000,925300.0,24,60,19277.083333333300,0,0,675.0,1
199,53801,6435480,29,490000,340041339330,20000,125000,124000,26,94,232000,208800.0,26,72,4350.0,0,0,550.0,1
200,75373,2028740,38,1122000,356219269730,520000,3851000,1097000,6,34,16229000,14606100.0,29,60,304293.75,0,0,575.0,1
201,30163,8462120,57,1695000,247288132160,1490000,14202000,4172000,28,58,70875000,67331250.0,20,60,1402734.375,0,0,725.0,1
202,96673,6475900,40,824000,248849330120,940000,1536000,1476000,36,50,5401000,5130950.0,24,72,106894.79166666700,0,0,675.0,1
203,67121,4880000,51,147000,317351113770,870000,3068000,1956000,2,56,5577000,5019300.0,22,54,104568.75,0,0,500.0,0
204,72365,4601500,53,885000,316596945510,500000,3413000,632000,6,60,14770000,13293000.0,25,78,276937.5,0,0,550.0,1
205,34713,3221420,59,1352000,342939500750,1320000,4818000,3239000,22,62,22337000,21220150.0,23,78,442086.4583333330,0,0,725.0,1
206,2940,2740340,29,1193000,322433759480,100000,759000,293000,6,66,1594000,1434600.0,26,66,29887.5,0,0,450.0,0
207,11330,716880,25,836000,272620018400,1290000,4990000,2698000,22,20,23162000,20845800.0,26,60,434287.5,0,0,600.0,1
208,49043,6517280,57,1256000,381684326330,1920000,15199000,13813000,6,90,14991000,14241450.0,24,78,296696.875,0,0,625.0,1
209,9742,6274400,57,1690000,281541812640,320000,3171000,2063000,24,38,12310000,11694500.0,27,54,243635.41666666700,0,0,625.0,1
210,79185,5916860,33,175000,406755212860,1200000,11631000,9414000,0,88,12802000,12161900.0,29,60,253372.91666666700,0,0,725.0,1
211,65572,5922820,31,1320000,271719522210,910000,1869000,1035000,26,62,1214000,1153300.0,25,66,24027.083333333300,0,0,700.0,1
